
2024/05/23 (02:04:25) | ===> btop++ v.1.3.2
2024/05/23 (02:04:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (02:05:03) | ===> btop++ v.1.3.2
2024/05/23 (02:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (15:36:42) | ===> btop++ v.1.3.2
2024/05/23 (15:36:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (00:02:57) | ===> btop++ v.1.3.2
2024/05/24 (00:02:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (00:16:43) | ===> btop++ v.1.3.2
2024/05/24 (00:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (09:44:38) | ===> btop++ v.1.3.2
2024/05/24 (09:44:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (14:49:04) | ===> btop++ v.1.3.2
2024/05/24 (14:49:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (16:33:41) | ===> btop++ v.1.3.2
2024/05/24 (16:33:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/24 (16:33:41) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/24 (16:33:41) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/05/24 (16:33:41) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/05/24 (16:33:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/24 (16:33:58) | ===> btop++ v.1.3.2
2024/05/24 (16:33:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/24 (16:33:58) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/24 (16:33:58) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/05/24 (16:33:58) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/05/24 (16:33:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/24 (16:38:19) | ===> btop++ v.1.3.2
2024/05/24 (16:38:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (16:38:35) | ===> btop++ v.1.3.2
2024/05/24 (16:38:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (18:25:06) | ===> btop++ v.1.3.2
2024/05/24 (18:25:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (23:40:52) | ===> btop++ v.1.3.2
2024/05/24 (23:40:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (14:27:56) | ===> btop++ v.1.3.2
2024/05/25 (14:27:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (15:20:00) | ===> btop++ v.1.3.2
2024/05/25 (15:20:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (15:30:53) | ===> btop++ v.1.3.2
2024/05/25 (15:30:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (15:34:29) | ===> btop++ v.1.3.2
2024/05/25 (15:34:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:29:27) | ===> btop++ v.1.3.2
2024/05/25 (19:29:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:55:34) | ===> btop++ v.1.3.2
2024/05/25 (19:55:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (20:13:57) | ===> btop++ v.1.3.2
2024/05/25 (20:13:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (23:58:40) | ===> btop++ v.1.3.2
2024/05/25 (23:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (00:08:03) | ===> btop++ v.1.3.2
2024/05/26 (00:08:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (08:44:23) | ===> btop++ v.1.3.2
2024/05/26 (08:44:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (09:17:06) | ===> btop++ v.1.3.2
2024/05/26 (09:17:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (10:11:37) | ===> btop++ v.1.3.2
2024/05/26 (10:11:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (13:30:14) | ===> btop++ v.1.3.2
2024/05/26 (13:30:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (14:19:40) | ===> btop++ v.1.3.2
2024/05/26 (14:19:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (15:41:34) | ===> btop++ v.1.3.2
2024/05/26 (15:41:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (17:09:05) | ===> btop++ v.1.3.2
2024/05/26 (17:09:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (19:34:23) | ===> btop++ v.1.3.2
2024/05/26 (19:34:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (15:39:50) | ===> btop++ v.1.3.2
2024/05/27 (15:39:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (18:11:02) | ===> btop++ v.1.3.2
2024/05/27 (18:11:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (19:15:58) | ===> btop++ v.1.3.2
2024/05/27 (19:15:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (19:23:30) | ===> btop++ v.1.3.2
2024/05/27 (19:23:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (14:08:31) | ===> btop++ v.1.3.2
2024/05/28 (14:08:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (14:38:50) | ===> btop++ v.1.3.2
2024/05/28 (14:38:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (19:00:47) | ===> btop++ v.1.3.2
2024/05/28 (19:00:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (14:49:00) | ===> btop++ v.1.3.2
2024/05/29 (14:49:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (15:00:01) | ===> btop++ v.1.3.2
2024/05/29 (15:00:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (16:19:25) | ===> btop++ v.1.3.2
2024/05/29 (16:19:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (17:29:35) | ===> btop++ v.1.3.2
2024/05/29 (17:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (17:34:46) | ===> btop++ v.1.3.2
2024/05/29 (17:34:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (18:05:04) | ===> btop++ v.1.3.2
2024/05/29 (18:05:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (23:30:43) | ===> btop++ v.1.3.2
2024/05/29 (23:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (23:47:17) | ===> btop++ v.1.3.2
2024/05/29 (23:47:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (00:09:22) | ===> btop++ v.1.3.2
2024/05/30 (00:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (00:09:53) | ===> btop++ v.1.3.2
2024/05/30 (00:09:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (00:49:13) | ===> btop++ v.1.3.2
2024/05/30 (00:49:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (00:50:50) | ===> btop++ v.1.3.2
2024/05/30 (00:50:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (09:59:53) | ===> btop++ v.1.3.2
